1,2,3,4,5,6,7,8,9,10,11
26.4,13.2,8.82,18.3,58.8,6.61,17,414,17,44.9,40
35.9,16.5,12.3,16.8,8.13,18.6,32.5,352,3.37,16.5,61.5
59.4,44.1,14.6,10.2,13,14.9,32.5,403,11.4,31.9,19.5
73,82.8,23.1,13.5,1.29,5.83,11.8,528,13.7,28.6,23.1
33.7,19.8,5.19,9.73,24.8,21.1,46.1,305,4.66,25.7,81.3
18.8,3.75,17.6,22.1,10.9,11.9,25.7,610,13.7,49.1,57.8
44.9,36.5,10.4,132,16.3,8.66,17.9,835,15,35.9,18.1
47.4,15,14.6,30.5,17.5,20.2,45.3,466,6.44,24.4,20
104,61.5,10.6,21.1,41.8,11.5,23.5,445,29.2,61,25.3
21.1,21.5,1.88,205,43.7,13.2,135,213,14.6,26.7,101
16.4,16.4,14.5,17,11.2,21.9,34.6,449,20.4,44.9,24.1
74.3,22.9,7.5,15.5,26.2,20.9,36.5,389,31.9,71,35.5
85.1,39.6,8.9,64.9,11.7,6.67,12.2,528,17.9,44.1,118
36.8,29.2,5,9.06,15.5,17.9,17.9,400,14.6,41.4,151
